,industry,num_of_listed
0,软件服务,223
1,元器件,206
2,电气设备,194
3,化工原料,189
4,专用机械,160
5,汽车配件,156
6,通信设备,128
7,化学制药,120
8,医疗保健,102
9,环境保护,92
10,建筑工程,91
11,机械基件,82
12,互联网,79
13,电器仪表,73
14,中成药,71
15,半导体,71
16,食品,70
17,区域地产,60
18,服饰,58
19,塑料,54
20,生物制药,51
21,证券,48
22,家用电器,47
23,影视音像,46
24,广告包装,43
25,家居用品,43
26,百货,42
27,农药化肥,42
28,仓储物流,41
29,纺织,41
30,文教休闲,39
31,IT设备,38
32,银行,37
33,小金属,36
34,综合类,35
35,全国地产,34
36,火力发电,33
37,农业综合,32
38,供气供热,31
39,化纤,30
40,铝,30
41,航空,29
42,装修装饰,29
43,工程机械,29
44,多元金融,28
45,钢加工,28
46,煤炭开采,27
47,其他建材,27
48,医药商业,27
49,造纸,27
50,普钢,25
51,运输设备,25
52,染料涂料,24
53,商贸代理,23
54,汽车整车,22
55,出版业,22
56,水泥,22
57,矿物制品,22
58,水力发电,20
59,玻璃,20
60,白酒,19
61,港口,19
62,路桥,19
63,石油开采,19
64,饲料,17
65,机床制造,16
66,园区开发,16
67,铜,15
68,新型电力,14
69,其他商业,14
70,乳制品,14
71,种植业,14
72,旅游服务,13
73,黄金,13
74,铅锌,13
75,旅游景点,12
76,房产服务,12
77,超市连锁,12
78,橡胶,12
79,汽车服务,12
80,日用化工,11
81,纺织机械,11
82,水运,11
83,水务,11
84,轻工机械,10
85,酒店餐饮,10
86,红黄酒,10
87,特种钢,10
88,化工机械,10
89,电信运营,9
90,农用机械,9
91,石油加工,9
92,空运,8
93,公共交通,8
94,渔业,8
95,软饮料,8
96,船舶,7
97,公路,7
98,啤酒,7
99,保险,7
100,石油贸易,7
101,摩托车,7
102,焦炭加工,7
103,批发业,7
104,陶瓷,7
105,铁路,5
106,林业,4
107,机场,4
108,商品城,3
109,电器连锁,2
