,exchange,cal_date,is_open
0,SSE,20000101,0
1,SSE,20000102,0
2,SSE,20000103,0
3,SSE,20000104,1
4,SSE,20000105,1
5,SSE,20000106,1
6,SSE,20000107,1
7,SSE,20000108,0
8,SSE,20000109,0
9,SSE,20000110,1
10,SSE,20000111,1
11,SSE,20000112,1
12,SSE,20000113,1
13,SSE,20000114,1
14,SSE,20000115,0
15,SSE,20000116,0
16,SSE,20000117,1
17,SSE,20000118,1
18,SSE,20000119,1
19,SSE,20000120,1
20,SSE,20000121,1
21,SSE,20000122,0
22,SSE,20000123,0
23,SSE,20000124,1
24,SSE,20000125,1
25,SSE,20000126,1
26,SSE,20000127,1
27,SSE,20000128,1
28,SSE,20000129,0
29,SSE,20000130,0
30,SSE,20000131,0
31,SSE,20000201,0
32,SSE,20000202,0
33,SSE,20000203,0
34,SSE,20000204,0
35,SSE,20000205,0
36,SSE,20000206,0
37,SSE,20000207,0
38,SSE,20000208,0
39,SSE,20000209,0
40,SSE,20000210,0
41,SSE,20000211,0
42,SSE,20000212,0
43,SSE,20000213,0
44,SSE,20000214,1
45,SSE,20000215,1
46,SSE,20000216,1
47,SSE,20000217,1
48,SSE,20000218,1
49,SSE,20000219,0
50,SSE,20000220,0
51,SSE,20000221,1
52,SSE,20000222,1
53,SSE,20000223,1
54,SSE,20000224,1
55,SSE,20000225,1
56,SSE,20000226,0
57,SSE,20000227,0
58,SSE,20000228,1
59,SSE,20000229,1
60,SSE,20000301,1
61,SSE,20000302,1
62,SSE,20000303,1
63,SSE,20000304,0
64,SSE,20000305,0
65,SSE,20000306,1
66,SSE,20000307,1
67,SSE,20000308,1
68,SSE,20000309,1
69,SSE,20000310,1
70,SSE,20000311,0
71,SSE,20000312,0
72,SSE,20000313,1
73,SSE,20000314,1
74,SSE,20000315,1
75,SSE,20000316,1
76,SSE,20000317,1
77,SSE,20000318,0
78,SSE,20000319,0
79,SSE,20000320,1
80,SSE,20000321,1
81,SSE,20000322,1
82,SSE,20000323,1
83,SSE,20000324,1
84,SSE,20000325,0
85,SSE,20000326,0
86,SSE,20000327,1
87,SSE,20000328,1
88,SSE,20000329,1
89,SSE,20000330,1
90,SSE,20000331,1
91,SSE,20000401,0
92,SSE,20000402,0
93,SSE,20000403,1
94,SSE,20000404,1
95,SSE,20000405,1
96,SSE,20000406,1
97,SSE,20000407,1
98,SSE,20000408,0
99,SSE,20000409,0
100,SSE,20000410,1
101,SSE,20000411,1
102,SSE,20000412,1
103,SSE,20000413,1
104,SSE,20000414,1
105,SSE,20000415,0
106,SSE,20000416,0
107,SSE,20000417,1
108,SSE,20000418,1
109,SSE,20000419,1
110,SSE,20000420,1
111,SSE,20000421,1
112,SSE,20000422,0
113,SSE,20000423,0
114,SSE,20000424,1
115,SSE,20000425,1
116,SSE,20000426,1
117,SSE,20000427,1
118,SSE,20000428,1
119,SSE,20000429,0
120,SSE,20000430,0
121,SSE,20000501,0
122,SSE,20000502,0
123,SSE,20000503,0
124,SSE,20000504,0
125,SSE,20000505,0
126,SSE,20000506,0
127,SSE,20000507,0
128,SSE,20000508,1
129,SSE,20000509,1
130,SSE,20000510,1
131,SSE,20000511,1
132,SSE,20000512,1
133,SSE,20000513,0
134,SSE,20000514,0
135,SSE,20000515,1
136,SSE,20000516,1
137,SSE,20000517,1
138,SSE,20000518,1
139,SSE,20000519,1
140,SSE,20000520,0
141,SSE,20000521,0
142,SSE,20000522,1
143,SSE,20000523,1
144,SSE,20000524,1
145,SSE,20000525,1
146,SSE,20000526,1
147,SSE,20000527,0
148,SSE,20000528,0
149,SSE,20000529,1
150,SSE,20000530,1
151,SSE,20000531,1
152,SSE,20000601,1
153,SSE,20000602,1
154,SSE,20000603,0
155,SSE,20000604,0
156,SSE,20000605,1
157,SSE,20000606,1
158,SSE,20000607,1
159,SSE,20000608,1
160,SSE,20000609,1
161,SSE,20000610,0
162,SSE,20000611,0
163,SSE,20000612,1
164,SSE,20000613,1
165,SSE,20000614,1
166,SSE,20000615,1
167,SSE,20000616,1
168,SSE,20000617,0
169,SSE,20000618,0
170,SSE,20000619,1
171,SSE,20000620,1
172,SSE,20000621,1
173,SSE,20000622,1
174,SSE,20000623,1
175,SSE,20000624,0
176,SSE,20000625,0
177,SSE,20000626,1
178,SSE,20000627,1
179,SSE,20000628,1
180,SSE,20000629,1
181,SSE,20000630,1
182,SSE,20000701,0
183,SSE,20000702,0
184,SSE,20000703,1
185,SSE,20000704,1
186,SSE,20000705,1
187,SSE,20000706,1
188,SSE,20000707,1
189,SSE,20000708,0
190,SSE,20000709,0
191,SSE,20000710,1
192,SSE,20000711,1
193,SSE,20000712,1
194,SSE,20000713,1
195,SSE,20000714,1
196,SSE,20000715,0
197,SSE,20000716,0
198,SSE,20000717,1
199,SSE,20000718,1
200,SSE,20000719,1
201,SSE,20000720,1
202,SSE,20000721,1
203,SSE,20000722,0
204,SSE,20000723,0
205,SSE,20000724,1
206,SSE,20000725,1
207,SSE,20000726,1
208,SSE,20000727,1
209,SSE,20000728,1
210,SSE,20000729,0
211,SSE,20000730,0
212,SSE,20000731,1
213,SSE,20000801,1
214,SSE,20000802,1
215,SSE,20000803,1
216,SSE,20000804,1
217,SSE,20000805,0
