stock,act_day,act,target_price,sell_day,T2-sell,gain_percent,act_low,act_high,buy,at_price,EPOCH_R,sell,selling_price
sh600030,2021-01-11,buy,29.24961280822754,2021-01-12,30.248371591567988,0.03,0,0,0,0,150,0.0,0.0
sh600600,2021-01-11,buy,101.85828399658205,2021-01-12,107.4594686126709,0.05,0,0,0,0,150,0.0,0.0
sh600648,2021-01-11,buy,13.797621726989744,2021-01-12,14.206466593742368,0.03,0,0,0,0,150,0.0,0.0
sh600585,2021-01-11,buy,55.29804229736328,2021-01-12,56.44911655426026,0.02,0,0,0,0,150,0.0,0.0
sh600587,2021-01-11,buy,13.375368118286133,2021-01-12,13.723438358306884,0.03,0,0,0,0,150,0.0,0.0
sh600685,2021-01-11,buy,31.44707489013672,2021-01-12,34.26841352462768,0.09,0,0,0,0,150,0.0,0.0
sh600230,2021-01-11,buy,8.37690258026123,2021-01-12,8.68919816017151,0.04,0,0,0,0,150,0.0,0.0
sh600655,2021-01-11,buy,13.428606033325195,2021-01-12,15.046979961395266,0.12,0,0,0,0,150,0.0,0.0
sz002304,2021-01-11,buy,237.9312286376953,2021-01-12,248.87185470581053,0.05,0,0,0,0,150,0.0,0.0
sh603589,2021-01-11,buy,68.67083740234375,2021-01-12,72.59705894470214,0.06,0,0,0,0,150,0.0,0.0
sh600305,2021-01-11,buy,23.227731704711914,2021-01-12,24.56546688079834,0.06,0,0,0,0,150,0.0,0.0
sh600058,2021-01-11,buy,6.922067165374756,2021-01-12,6.962177953720093,0.01,0,0,0,0,150,0.0,0.0
sh600547,2021-01-11,buy,23.883699417114247,2021-01-12,24.40611330986023,0.02,0,0,0,0,150,0.0,0.0
sz300778,2021-01-11,buy,24.76380729675293,2021-01-12,25.37920876502991,0.02,0,0,0,0,150,0.0,0.0
sz300778,2021-01-11,buy,24.019573211669922,2021-01-12,25.410266456604003,0.06,0,0,0,0,150,0.0,0.0
sh600298,2021-01-11,buy,55.852500915527344,2021-01-12,58.5075288772583,0.05,0,0,0,0,150,0.0,0.0
sh600211,2021-01-11,buy,63.82538604736328,2021-01-12,67.29179412841796,0.05,0,0,0,0,150,0.0,0.0
sz000729,2021-01-11,buy,7.646699905395508,2021-01-12,7.92311555147171,0.04,0,0,0,0,150,0.0,0.0
sz002664,2021-01-11,buy,13.443912506103516,2021-01-12,13.895841283798218,0.03,0,0,0,0,150,0.0,0.0
sh600529,2021-01-11,buy,44.53932189941406,2021-01-12,46.33789743423462,0.04,0,0,0,0,150,0.0,0.0
