stock,fc_date,t+1_low,reachability,t+1_low+0.5%,reachability2,df_epochs,t+2_high,t+2_high.1,reality,t+2_high*99.5%,reality_2,ht_epochs
sh600685,2020-12-31,23.84,55.59,23.96,64.33,200,24.83,,55.59,24.7,61.89,300
sh600030,2020-12-31,28.67,53.4,28.81,62.18,200,29.88,,56.86,29.73,64.98,300
sh600600,2020-12-31,97.06,55.39,97.55,65.65,200,101.22,,62.72,100.71,72.3,300
sh600648,2020-12-31,13.92,48.63,13.99,61.07,200,14.33,,73.77,14.26,77.6,300
sh600585,2020-12-31,50.99,48.94,51.25,58.71,200,52.46,,56.6,52.19,66.36,300
sh600529,2020-12-31,48.88,38.62,49.12,50.07,200,51.64,,58.46,51.38,66.58,300
sh600587,2020-12-31,14.17,57.73,14.24,66.07,200,14.66,,64.98,14.59,72.23,300
sh600685,2020-12-31,25.07,65.95,25.19,71.82,200,27.2,,48.64,27.07,56.65,600
sh600058,2020-12-31,7.42,47.16,7.46,57.84,200,7.76,,72.12,7.72,77.25,300
sh600547,2020-12-31,24.13,46.74,24.25,56.31,200,24.78,,65.88,24.66,71.84,300
