stock,fc_date,future_days,future_high,reachability,0.5%_off,uptonow_epochs
sh999999,2020-12-28,2,3411.81982421875,34.03,53.32,30
sh999999,2020-12-28,2,3433.097900390625,54.76,73.4,60
sh999999,2020-12-28,2,3448.030029296875,74.58,84.88,90
sh999999,2020-12-28,2,29.82761001586914,80.24,82.8,93
sh999999,2020-12-28,2,30.48684310913086,58.06,62.1,96
sh999999,2020-12-28,2,29.453920364379893,66.8,72.58,99
sh999999,2020-12-28,2,29.1646671295166,35.35,43.95,102
sh999999,2020-12-28,2,29.693246841430664,71.68,77.58,105
sh999999,2020-12-28,2,30.097745895385746,68.86,75.44,108
sh999999,2020-12-28,2,30.14223289489746,55.7,62.68,111
sh999999,2020-12-28,2,29.61015319824219,35.3,44.03,114
sh999999,2020-12-28,2,29.43715667724609,56.51,62.55,117
sh999999,2020-12-28,2,30.30743789672852,79.36,82.44,120
sh999999,2020-12-28,2,31.126989364624023,78.28,80.56,123
sh999999,2020-12-28,2,29.10345268249512,52.69,61.02,126
sh999999,2020-12-28,2,30.4639835357666,49.87,53.63,129
sh999999,2020-12-28,2,29.67568778991699,68.68,73.79,132
sh999999,2020-12-28,2,28.858285903930664,58.2,63.58,135
sh999999,2020-12-28,2,30.05463218688965,76.51,80.94,138
sh999999,2020-12-28,2,29.96722412109375,65.77,72.62,141
sh999999,2020-12-28,2,29.91177177429199,35.03,46.04,144
sh999999,2020-12-28,2,28.83661460876465,40.19,49.87,147
sh999999,2020-12-28,2,28.936187744140625,62.23,66.67,150
sh999999,2020-12-28,2,29.45602989196777,70.3,76.75,153
sh999999,2020-12-28,2,28.97499656677246,61.96,67.47,156
sh999999,2020-12-28,2,29.70981788635254,37.72,47.65,159
sh999999,2020-12-28,2,30.07749938964844,77.05,81.34,162
sh999999,2020-12-28,2,30.177936553955078,28.86,35.57,165
sh999999,2020-12-28,2,30.256122589111328,27.65,35.84,168
sh999999,2020-12-28,2,29.950603485107425,46.85,55.3,171
sh999999,2020-12-28,2,30.71852302551269,85.39,87.4,174
sh999999,2020-12-28,2,30.68715858459473,51.88,59.12,177
sh999999,2020-12-28,2,31.335973739624023,33.51,39.01,180
