stock,fc_date,future_days,future_low,reachability,0.5%_up,uptonow_epochs
sh999999,2020-12-29,2,28.81321907043457,50.54,55.24,3
sh999999,2020-12-29,2,28.758560180664066,43.41,52.28,63
sh999999,2020-12-29,2,28.38892936706543,42.74,52.28,123
sh999999,2020-12-29,2,28.393800735473643,67.2,75.54,183
sh999999,2020-12-29,2,28.77494812011719,54.63,63.76,243
sh999999,2020-12-29,2,28.66073226928711,52.08,62.42,303
sh999999,2020-12-29,2,28.265724182128906,66.53,72.58,318
sh999999,2020-12-29,2,28.27709579467773,69.89,77.55,333
sh999999,2020-12-29,2,28.76482582092285,47.45,58.47,348
sh999999,2020-12-29,2,28.82949447631836,65.77,73.29,363
sh999999,2020-12-29,2,28.710559844970703,60.27,69.66,378
sh999999,2020-12-29,2,29.06084251403809,49.93,61.21,393
sh999999,2020-12-29,2,29.22834396362305,62.95,69.4,408
sh999999,2020-12-29,2,28.597108840942386,31.54,40.67,423
sh999999,2020-12-29,2,28.265708923339844,45.43,55.78,438
sh999999,2020-12-29,2,28.27574920654297,62.77,70.16,453
sh999999,2020-12-29,2,28.5446891784668,55.11,63.84,468
sh999999,2020-12-29,2,28.78254508972168,47.92,59.19,483
sh999999,2020-12-29,2,28.720500946044922,65.91,73.96,498
sh999999,2020-12-29,2,29.22937202453613,40.27,53.02,513
sh999999,2020-12-29,2,29.320762634277344,28.46,41.34,528
sh999999,2020-12-29,2,28.3865966796875,72.21,78.26,543
sh999999,2020-12-29,2,28.648521423339844,48.93,58.71,558
sh999999,2020-12-29,2,29.45537185668945,21.05,28.02,573
sh999999,2020-12-29,2,29.4698486328125,75.2,81.37,588
sh999999,2020-12-29,2,30.753314971923828,59.79,67.02,603
sh999999,2020-12-29,2,30.41070938110352,42.76,55.63,618
sh999999,2020-12-29,2,30.1816349029541,62.52,70.55,633
sh999999,2020-12-29,2,29.792896270751953,44.58,54.08,648
sh999999,2020-12-29,2,28.411190032958984,48.79,59.14,663
sh999999,2020-12-29,2,28.26539802551269,69.62,77.15,678
sh999999,2020-12-29,2,28.45108795166016,43.55,54.3,693
sh999999,2020-12-29,2,28.90146064758301,34.9,47.11,708
sh999999,2020-12-29,2,28.50726127624512,48.19,57.18,723
sh999999,2020-12-29,2,29.256013870239247,36.11,48.72,738
sh999999,2020-12-29,2,29.54167366027832,26.04,39.06,753
sh999999,2020-12-29,2,28.72304725646973,40.0,49.66,768
sh999999,2020-12-29,2,28.45785713195801,66.76,72.52,783
sh999999,2020-12-29,2,28.988679885864247,77.75,82.44,798
sh999999,2020-12-29,2,29.63217353820801,74.4,80.29,813
sh999999,2020-12-29,2,30.65550994873047,37.13,49.06,828
sh999999,2020-12-29,2,30.16620445251465,67.16,74.53,843
sh999999,2020-12-29,2,29.994014739990234,48.86,58.63,858
sh999999,2020-12-29,2,30.13744735717773,40.7,53.68,873
sh999999,2020-12-29,2,28.31074333190918,60.75,67.34,888
sh999999,2020-12-29,2,28.28701591491699,52.42,61.96,903
sh999999,2020-12-29,2,28.36693000793457,83.6,86.16,918
sh999999,2020-12-29,2,28.55865859985352,46.98,58.26,933
sh999999,2020-12-29,2,29.0069522857666,46.85,58.39,948
sh999999,2020-12-29,2,28.97382354736328,46.04,55.57,963
sh999999,2020-12-29,2,28.809511184692386,53.02,61.07,978
sh999999,2020-12-29,2,28.41718673706055,54.09,64.56,993
sh999999,2020-12-29,2,28.72863006591797,77.08,82.71,1008
sh999999,2020-12-29,2,29.15746116638184,79.62,84.05,1023
sh999999,2020-12-29,2,28.355642318725586,58.6,65.46,1083
sh999999,2020-12-29,2,28.30532455444336,58.47,68.28,1143
sh999999,2020-12-29,2,28.50585556030273,54.03,65.32,1203
sh999999,2020-12-29,2,28.77399253845215,57.05,67.65,1263
sh999999,2020-12-29,2,28.65273857116699,51.68,63.89,1323
sh999999,2020-12-29,2,29.3005313873291,44.7,55.7,1383
sh999999,2020-12-29,2,29.222393035888672,68.99,76.64,1443
sh999999,2020-12-29,2,28.61431884765625,29.53,42.82,1503
sh999999,2020-12-29,2,28.878602981567386,71.58,77.21,1563
sh999999,2020-12-29,2,29.25610160827637,48.79,58.98,1623
sh999999,2020-12-29,2,29.82040596008301,73.32,78.55,1683
sh999999,2020-12-29,2,30.75145721435547,34.05,47.05,1743
sh999999,2020-12-29,2,29.987911224365234,70.11,77.08,1803
sh999999,2020-12-29,2,30.306415557861328,31.99,42.84,1863
