,Unnamed: 0,open,high,low,adjclose,amount,volume,str07,pct_index_300,pct_vol_300
0,2005-01-04,8.58,8.7,8.53,8.61,303249.0,35200,868,0.0,0.0
1,2005-01-05,8.65,8.86,8.65,8.77,257076.0,29471,861,0.994108609163713,-3.9628381399968053
2,2005-01-06,8.73,8.79,8.6,8.63,255835.0,29400,877,-0.946038526638182,-11.673946838010206
3,2005-01-07,8.63,8.78,8.62,8.7,246382.0,28324,863,0.07933521161143098,16.07286099871057
4,2005-01-10,8.63,8.76,8.62,8.75,478423.0,54897,870,1.008181310025913,-20.64748844108275
5,2005-01-11,8.71,8.78,8.66,8.74,523196.0,60000,875,0.32801070562549217,0.990763156290808
6,2005-01-12,8.72,8.74,8.65,8.69,320396.0,36887,874,-0.03911225216370884,-14.268126657205348
7,2005-01-13,8.62,8.79,8.62,8.75,392506.0,45076,869,0.01304251861067307,20.53115698894712
8,2005-01-14,8.79,8.9,8.78,8.78,1082020.0,122330,875,-0.8596908323051156,20.743936407037307
9,2005-01-17,8.68,8.8,8.58,8.63,745790.0,86258,878,-2.109683294546183,-0.1322856811643791
10,2005-01-18,8.68,8.75,8.58,8.74,446737.0,51600,863,0.7473254431753507,0.3246211541195088
11,2005-01-19,8.75,8.76,8.1,8.2,1727727.0,207709,874,-0.7664053843312589,-13.31752428627131
12,2005-01-20,8.2,8.28,8.06,8.12,979316.0,120600,820,-1.1341900931545412,21.915371981148898
13,2005-01-21,8.11,8.5,8.06,8.4,1503170.0,181909,812,2.756630134694227,87.00479843294502
14,2005-01-24,8.49,8.6,8.4,8.53,718273.0,84500,840,1.580500712395683,-0.6269732185868571
15,2005-01-25,8.5,8.52,8.29,8.38,478222.0,57410,853,-0.036067446124254936,-31.31685792384546
16,2005-01-26,8.39,8.39,8.2,8.23,258036.0,31200,838,-0.7867544624512668,-22.298935698947002
17,2005-01-27,8.2,8.2,8.08,8.1,353232.0,43500,823,-1.544569258121864,-9.368365284362202
18,2005-01-28,8.11,8.2,8.08,8.18,328803.0,40404,810,-0.5571345023239527,-17.228151436245607
19,2005-01-31,8.03,8.03,7.86,7.88,426952.0,53850,818,-1.478539001238144,18.088953064522787
20,2005-02-01,7.9,8.1,7.88,8.1,526742.0,65860,788,0.1131044016462912,9.491646861714154
21,2005-02-02,8.08,8.41,7.91,8.4,890370.0,107899,810,5.3308227417751874,129.47916781581114
22,2005-02-03,8.4,8.49,8.26,8.28,675215.0,80848,840,-1.3605982659820604,-0.4854098570363119
23,2005-02-04,8.22,8.5,8.22,8.45,668026.0,79190,828,2.3801612951943607,-7.2951903262179725
24,2005-02-16,8.35,8.55,8.32,8.48,527548.0,62211,845,0.6618478635000313,-22.90844399367955
25,2005-02-17,8.41,8.5,8.32,8.5,233045.0,27700,848,-0.2911350358545506,-26.073032775648894
26,2005-02-18,8.38,8.46,8.25,8.33,880797.0,105689,850,-1.4256319811875473,-9.236513911169533
27,2005-02-21,8.4,8.45,8.32,8.45,1511304.0,179900,833,1.9462253367128923,21.451696382491317
28,2005-02-22,8.44,8.7,8.38,8.69,3106240.0,366181,845,2.058247126156587,81.44516934595201
29,2005-02-23,8.68,8.81,8.55,8.8,3038276.0,350368,869,-0.26845252880370873,4.231769265418794
30,2005-02-24,8.8,8.8,8.65,8.71,1389998.0,159195,880,0.1465615510618523,-21.47486474783451
31,2005-02-25,8.7,8.97,8.7,8.91,2140420.0,241500,871,0.12434717731906185,23.758795590836755
32,2005-02-28,8.9,9.08,8.8,9.08,2197778.0,245834,891,-0.6477129427949091,-28.612861064862727
33,2005-03-01,9.09,9.09,8.91,8.99,1279961.0,142250,908,-0.3894305659724151,-23.197481529245987
34,2005-03-02,8.92,9.04,8.73,8.82,2363148.0,266950,899,-1.4103269525933215,42.79267703865352
35,2005-03-03,8.05,8.68,8.05,8.58,2346054.0,273789,882,0.6256609094113408,-35.30405862580565
36,2005-03-04,8.53,8.74,8.53,8.59,1041998.0,120473,858,-0.3940800420352164,-11.185857785731638
37,2005-03-07,8.7,8.78,8.59,8.61,634115.0,73600,859,0.6066467381747875,-2.944734176605013
38,2005-03-08,8.61,8.8,8.61,8.75,2101828.0,241393,861,1.855574004486016,80.20780166366883
39,2005-03-09,8.77,8.98,8.71,8.85,2156048.0,244072,875,-0.23260691338252704,7.216773494132145
40,2005-03-10,8.83,8.95,8.72,8.73,2181337.0,247600,885,-2.3056930456552105,-13.25419403362117
41,2005-03-11,8.73,8.79,8.65,8.72,1284647.0,147788,873,0.4900186813509455,-13.685156678878153
