,Unnamed: 0,open,high,low,adjclose,amount,volume,str07,adjclose_4,true_adjclose_4,buy_profit,sell_profit
51.0,2000-03-29,9.65,9.75,9.1,9.41,20245826.0,2147800,961,9.453904,9.37,0.0,-0.043904151916503764
53.0,2000-03-31,9.8,9.82,9.59,9.73,26259582.0,2705900,980,9.771378,9.62,0.0,-0.041377563476562074
55.0,2000-04-04,9.8,9.8,9.31,9.37,27649404.0,2901200,982,9.772695,9.79,0.4026945877075203,0.0
57.0,2000-04-06,9.45,9.65,9.45,9.62,13666832.0,1434000,944,9.588742,9.49,0.0,0.03125774383544844
58.0,2000-04-07,9.72,10.0,9.6,9.7,18446632.0,1888400,962,9.768272,9.74,0.06827239990234446,0.0
65.0,2000-04-18,9.9,9.99,9.6,9.67,16772542.0,1733500,990,9.802802,9.34,0.0,-0.13280208587646491
66.0,2000-04-19,9.68,9.8,9.51,9.66,17735250.0,1848000,967,9.752178,9.45,0.0,-0.09217819213867173
78.0,2000-05-12,8.66,8.82,8.66,8.74,4259323.0,487800,870,8.680491,8.82,-0.059508552551269744,0.0
83.0,2000-05-19,8.82,8.87,8.6,8.82,16314520.0,1872600,882,8.796054,9.1,-0.023946113586426065,0.0
84.0,2000-05-22,8.86,9.05,8.75,8.98,13900943.0,1566800,882,8.889219,9.03,-0.09078071594238324,0.0
86.0,2000-05-24,9.0,9.09,8.91,8.99,10262213.0,1139900,893,8.985429,9.16,-0.004571189880371307,0.0
89.0,2000-05-29,9.1,9.1,8.98,9.03,10775397.0,1193300,903,9.0976515,9.26,0.06765148162841861,0.0
96.0,2000-06-07,9.36,9.75,9.15,9.66,52660892.0,5529200,929,9.650817,9.26,0.0,0.009183082580566548
108.0,2000-06-23,9.15,9.2,9.1,9.19,6304104.0,689300,915,9.143421,9.51,-0.04657882690429638,0.0
118.0,2000-07-10,9.45,9.75,9.44,9.69,24303320.0,2519800,944,9.599216,9.89,-0.09078353881835888,0.0
130.0,2000-07-26,10.4,10.44,10.22,10.34,18030604.0,1749800,1036,10.366442,10.8,0.026441726684570455,0.0
132.0,2000-07-28,10.41,10.85,10.41,10.75,69590136.0,6525500,1038,10.787711,10.96,0.037711143493652344,0.0
142.0,2000-08-11,11.2,11.35,10.9,10.92,50814400.0,4577500,1116,11.194835,11.17,0.27483470916748054,0.0
144.0,2000-08-15,11.18,11.27,10.8,10.97,25796180.0,2336100,1110,11.1073,11.34,0.13729980468749936,0.0
145.0,2000-08-16,11.0,11.03,10.8,10.92,16184715.0,1488400,1097,11.01201,11.0,0.09200962066650398,0.0
149.0,2000-08-22,11.38,11.45,11.0,11.0,32261038.0,2850300,1134,11.263889,11.24,0.2638893127441406,0.0
151.0,2000-08-24,10.85,10.85,10.5,10.71,18793392.0,1755100,1070,10.708327,10.88,-0.001672706604004759,0.0
153.0,2000-08-28,11.0,11.36,11.0,11.24,38055444.0,3396400,1095,11.161448,10.3,0.0,0.07855247497558615
174.0,2000-09-26,9.21,9.4,9.21,9.3,2086553.0,224100,920,9.2354555,9.3,0.0,0.0
179.0,2000-10-10,9.3,9.52,9.27,9.48,3898971.0,413800,930,9.341901,9.12,0.0,0.13809917449951215
193.0,2000-10-30,9.8,9.94,9.71,9.86,14150492.0,1438700,960,9.791394,9.61,0.0,0.06860576629638615
194.0,2000-10-31,9.92,9.92,9.61,9.66,7478786.0,769300,986,9.779287,9.9,0.1192873382568358,0.0
196.0,2000-11-02,9.73,9.75,9.63,9.69,5439150.0,561900,969,9.701423,11.11,0.011422691345215341,0.0
197.0,2000-11-03,9.7,9.74,9.58,9.61,4517611.0,467900,969,9.67118,11.22,0.06117977142334041,0.0
199.0,2000-11-08,9.9,10.88,9.81,10.88,33261506.0,3271700,990,10.390946,11.08,-0.4890536117553719,0.0
200.0,2000-11-09,10.51,11.37,10.38,11.11,139612992.0,12846000,1088,11.328039,11.23,0.218039169311524,0.0
208.0,2000-11-21,12.02,12.12,11.66,11.69,47055960.0,3949400,1202,11.949864,10.87,0.0,-0.25986438751220753
209.0,2000-11-22,11.71,11.82,11.48,11.7,36095616.0,3105600,1169,11.764082,11.03,0.0,-0.0640819549560554
213.0,2000-11-28,10.88,11.06,10.88,11.03,13686383.0,1246900,1087,10.8307905,11.08,-0.1992094802856439,0.0
217.0,2000-12-04,10.94,11.08,10.8,11.08,9762216.0,890000,1095,10.901672,10.56,0.0,0.17832763671875007
221.0,2000-12-08,10.42,10.72,10.42,10.56,8055234.0,763000,1042,10.460787,10.45,0.0,0.09921318054199268
225.0,2000-12-14,10.64,10.68,10.42,10.45,4554933.0,432300,1064,10.520581,10.58,0.07058124542236399,0.0
236.0,2000-12-29,10.8,10.8,10.61,10.67,3447070.0,323600,1057,10.641884,11.04,-0.02811614990234368,0.0
246.0,2001-01-15,11.18,11.18,10.75,10.75,13355400.0,1223800,1119,11.05834,10.79,0.30834007263183594,0.0
252.0,2001-02-06,10.0,10.11,9.8,10.1,11224606.0,1127500,1004,10.098217,9.68,0.0,0.0017829895019527697
253.0,2001-02-07,10.25,10.25,10.0,10.0,7534813.0,747000,1010,10.020941,9.36,0.0,-0.020940780639648438
255.0,2001-02-09,9.5,9.8,9.5,9.65,8357916.0,866800,951,9.648148,8.7,0.0,0.0018524169921878553
256.0,2001-02-12,9.66,9.7,9.5,9.68,6456744.0,671200,965,9.601611,8.96,0.0,0.078388862609863
263.0,2001-02-28,9.42,9.46,9.31,9.36,4243763.0,453000,942,9.3459015,9.07,0.0,0.014098510742186932
