,Unnamed: 0,Unnamed: 0.1,open,high,low,adjclose,amount,volume,str07,pct_index_300,pct_vol_300,adjclose_8,true_adjclose_8,buy_profit,sell_profit
59.0,59,2005-04-07,3.8,3.97,3.8,3.91,1941598.0,494354,382,1.136947188957138,45.31298300197144,3.7669287,3.75,0.0,0.1430713272094728
66.0,66,2005-04-18,3.83,3.87,3.69,3.73,1041550.0,279426,382,-1.0584346254927768,-17.394205278051444,3.9117084,4.21,0.1817083549499512,0.0
68.0,68,2005-04-20,3.71,3.73,3.62,3.69,1467775.0,400509,375,-1.5550424996635168,-3.928501144570884,3.5824568,3.61,0.0,0.10754317283630366
78.0,78,2005-05-11,3.38,3.62,3.33,3.56,5729071.0,1632313,344,-1.2299031848249875,-13.838747796310216,3.506608,3.44,0.0,0.05339199066162115
79.0,79,2005-05-12,3.6,3.64,3.38,3.51,4853898.0,1375401,356,-1.7774574485779238,13.123941956948464,3.4593365,3.54,-0.05066348075866678,0.0
80.0,80,2005-05-13,3.44,3.61,3.44,3.54,2966419.0,838077,351,0.19417037321352024,9.934635027647644,3.4547603,3.55,-0.08523968696594242,0.0
81.0,81,2005-05-16,3.56,3.57,3.47,3.52,1958976.0,558381,354,-1.3824729026297389,-26.86210093708209,3.4261055,3.53,-0.09389450073242189,0.0
93.0,93,2005-06-01,3.57,3.57,3.48,3.53,1434423.0,408129,359,-2.151994859512829,12.124045148138695,3.4531715,3.72,-0.076828508377075,0.0
95.0,95,2005-06-03,3.61,3.62,3.53,3.59,3049520.0,852171,363,-0.04276741855862021,-16.538623698383482,3.420404,3.58,0.0,0.1695960426330565
96.0,96,2005-06-06,3.54,3.58,3.39,3.57,2770519.0,797100,359,2.5634756671515824,13.5221954078953,3.4367564,3.73,-0.1332436275482176,0.0
99.0,99,2005-06-09,3.8,3.85,3.71,3.79,6776519.0,1793847,381,0.7540545613124783,0.7110798129284612,3.605468,3.6,0.0,0.18453196525573734
100.0,100,2005-06-10,3.81,3.85,3.71,3.75,3909885.0,1035800,379,-1.976769669077372,-32.43736014657001,3.5195608,3.6,0.0,0.2304391860961914
107.0,107,2005-06-21,3.66,3.68,3.57,3.6,1419450.0,393953,365,-1.1133670249155905,-32.736263459688104,3.1938825,3.13,0.0,0.40611753463745126
