Unnamed: 0,Unnamed: 0.1,open,high,low,adjclose,amount,volume,str07,pct_index_300,pct_vol_300
0,2010-05-06,166.0,188.0,165.0,175.17,3979548160.0,22474978,14800,-4.595259502237847,-1.5083314031481665
1,2010-05-07,173.0,188.88,172.88,177.78,1922656000.0,10636545,17517,-2.073624545197217,3.996885303494469
2,2010-05-10,170.0,170.02,160.0,160.0,219752400.0,1354500,17778,0.7557838260851213,-17.850676182205262
3,2010-05-11,148.5,153.0,144.0,144.25,1370372864.0,9327819,16000,-2.0085857331285437,16.240691715834465
4,2010-05-12,137.0,140.48,130.28,132.22,731831360.0,5437694,14425,0.6191044051384821,-9.185912288658551
5,2010-05-13,129.99,135.99,127.0,135.5,563617152.0,4240265,13222,2.4395350157549567,4.0441795409106085
6,2010-05-14,132.9,139.88,128.1,138.2,642068864.0,4808337,13550,-0.6543328333754705,-22.933866306138626
7,2010-05-17,133.49,146.68,133.01,138.0,712136128.0,5053690,13820,-5.345151010104543,22.74922215890789
8,2010-05-18,138.9,139.98,132.38,135.99,410055136.0,3015489,13800,2.0860346555077625,4.49102089685427
9,2010-05-19,134.5,142.49,133.92,138.7,440643552.0,3162264,13599,-0.33124650441119785,-16.38874320118351
10,2010-05-20,136.5,142.12,135.5,136.16,356134112.0,2573502,13870,-1.3087536248674092,-7.463141799316797
11,2010-05-21,132.0,141.95,130.06,140.21,505512416.0,3699072,13616,1.5689540062068463,29.165708254760546
12,2010-05-25,142.0,144.7,139.8,139.8,660133632.0,4641113,14021,-2.0717112063115217,-25.950878212707906
13,2010-05-26,138.5,139.86,134.7,137.6,380717024.0,2778918,13980,0.0,-27.751001040868967
14,2010-05-27,136.2,142.78,135.31,141.83,364261184.0,2601158,13760,1.6361400740598553,34.08714122264917
15,2010-05-28,142.82,149.28,142.0,147.21,542317056.0,3693422,14183,-0.3384639053419902,-3.5741650855926066
16,2010-05-31,145.28,146.47,140.0,140.05,321773728.0,2243510,14721,-2.7028733817492934,-10.319464703873326
17,2010-06-01,138.01,140.5,135.4,137.99,238038288.0,1729944,14005,-1.0493065922416391,-2.9543940831628257
18,2010-06-02,137.01,137.98,134.81,137.4,155805712.0,1143755,13799,0.4872164888344743,-11.737432829894868
19,2010-06-03,138.4,138.47,134.71,134.8,205401488.0,1501789,13740,-0.7778700503711766,0.0006012071633643148
20,2010-06-04,133.88,135.14,132.6,134.0,142653040.0,1067021,13480,0.30371918949738674,-17.280729572126464
21,2010-06-07,130.5,135.4,130.06,134.81,158896016.0,1191711,13400,-1.7734359912403133,20.752585384402767
22,2010-06-08,133.9,137.9,133.78,134.99,140266224.0,1033195,13481,0.13428694374788552,-11.131990742095377
23,2010-06-09,135.47,137.99,135.01,137.9,201859216.0,1473425,13499,3.0670460186564164,71.34098224078636
24,2010-06-10,137.9,139.97,137.4,138.6,182098352.0,1310005,13790,-1.1541516751553682,-28.73830461365644
25,2010-06-11,138.05,139.85,135.01,135.17,268062912.0,1949940,13860,0.3218158413393235,-5.471800503860336
26,2010-06-17,136.5,137.89,134.05,134.65,171948144.0,1268049,13517,-0.5850221286251234,-19.591977875954004
27,2010-06-18,136.48,137.49,133.11,133.85,197849568.0,1456871,13465,-1.6975786898455136,28.19786463756253
28,2010-06-21,134.0,134.91,128.0,133.11,173680768.0,1321411,13385,3.1337044770915585,32.17811736336651
29,2010-06-22,133.13,139.2,132.67,136.6,234834192.0,1708420,13311,0.11004581646083532,-29.2526175827134
30,2010-06-23,135.3,136.6,133.1,135.55,124066968.0,919432,13660,-0.9059819234693124,-8.94131714373615
31,2010-06-24,134.31,137.08,134.31,135.65,82564984.0,606969,13555,-0.036251586006885717,-17.920239548206684
32,2010-06-25,134.5,135.34,131.18,132.6,113027200.0,850578,13565,-0.7691749773345413,4.966003189111047
33,2010-06-28,132.5,132.55,128.2,128.86,126390416.0,973746,13260,-0.7130092205138938,-9.656230603099614
34,2010-06-29,128.39,130.4,120.01,120.02,213414512.0,1727276,12886,-4.592201061550815,75.95985051485303
35,2010-06-30,118.08,118.9,115.61,117.03,106149216.0,909846,12002,-1.1168895301733706,-26.784548482899986
36,2010-07-01,117.0,117.8,115.34,115.57,56964272.0,490621,11703,-1.443581330201671,-7.958666614900213
37,2010-07-02,115.57,116.7,105.0,109.36,181485776.0,1654758,11557,0.3178850942372913,36.692993770764964
38,2010-07-06,108.0,114.84,106.5,114.14,144515232.0,1292989,10936,1.999880604143045,23.419894243915216
39,2010-07-07,114.0,114.0,111.52,113.89,71662776.0,634473,11414,0.6859417066604312,-10.056343784711586
40,2010-07-08,115.45,118.43,114.23,116.5,96673144.0,829226,11389,-0.17671130952380265,-4.658176531845816
41,2010-07-09,116.77,119.8,114.91,118.43,103749376.0,881742,11650,2.7632845740550804,71.75060456060591
42,2010-07-12,118.99,128.76,118.43,124.89,217263056.0,1732895,11843,1.100071776661249,-0.052235270022271685
43,2010-07-13,123.48,128.5,120.88,125.8,151141808.0,1212497,12489,-1.555552234121249,-26.05770766763941
44,2010-07-14,126.0,127.68,123.69,124.19,99151416.0,792625,12580,0.7219339631593602,8.004796649692222
45,2010-07-15,123.0,124.4,120.0,120.09,115559312.0,947828,12419,-1.6991946819615578,-13.38306611041692
46,2010-07-16,119.02,119.68,113.51,117.42,130340088.0,1123435,12009,0.29173631024490554,-13.296478657673006
47,2010-07-19,115.02,122.83,115.01,122.2,110892848.0,920958,11742,2.5358067068532497,53.630910174974396
48,2010-07-20,122.06,126.5,122.05,125.36,136517232.0,1094969,12220,2.200583790312672,35.75452953855597
49,2010-07-21,125.5,127.87,124.38,125.65,115136712.0,909869,12536,0.21265730439539168,-3.24259081755508
50,2010-07-22,125.79,129.56,125.79,128.59,116882456.0,908326,12565,1.2361092406081522,-13.69797108111792
51,2010-07-23,129.29,129.6,126.59,128.23,97743560.0,765418,12859,0.4239040157624663,5.655891218257536
52,2010-07-26,128.28,132.97,128.28,132.3,139816112.0,1063513,12823,0.6433757715496924,-16.9540953057465
53,2010-07-27,132.33,138.8,131.05,134.49,205625536.0,1520168,13230,-0.5453478237669285,-7.055132821324128
54,2010-07-28,133.64,136.5,133.18,136.09,132727872.0,980917,13449,2.4322893565879244,60.614739584533964
55,2010-07-29,137.14,137.18,133.38,136.0,143258144.0,1059897,13609,0.4979537105582965,19.977826356862604
56,2010-07-30,135.88,135.88,132.7,133.58,115400304.0,860710,13600,-0.3172363949714763,-34.793597347144114
57,2010-08-02,132.0,134.94,131.5,134.42,203917792.0,1530208,13358,1.6877843038151097,14.650615125632616
58,2010-08-03,134.5,134.8,130.0,130.0,184480160.0,1391701,13442,-1.7584933859395968,13.945642310849935
59,2010-08-04,129.01,131.8,127.5,131.25,128633616.0,997491,13000,0.3649724177154701,-12.759062676777232
60,2010-08-05,130.9,135.33,130.2,132.89,194397984.0,1453562,13125,-0.8899921082730966,-5.83366853370716
61,2010-08-06,130.0,134.6,128.8,134.26,361716160.0,2767597,13289,1.6426795003560368,11.550913365983215
62,2010-08-09,133.89,134.6,131.8,134.19,254414560.0,1912490,13426,0.7102282531421977,-0.2516241930259677
63,2010-08-10,134.22,137.8,131.8,131.89,259536352.0,1925417,13419,-2.93327485059488,4.962962817246175
64,2010-08-11,131.13,132.5,129.8,131.6,182096096.0,1387118,13189,0.6202694306371548,-29.904877710641397
65,2010-08-12,129.5,130.6,127.2,127.78,201313456.0,1561264,13160,-1.1865792345125523,8.938107481614901
66,2010-08-13,128.0,129.5,127.21,129.38,144253072.0,1121541,12778,1.3904324330082265,-2.3132932877368617
67,2010-08-16,129.2,130.87,128.55,130.36,198050720.0,1525653,12938,2.3298488907565806,38.55956378817081
68,2010-08-17,130.5,132.2,130.2,130.83,159150832.0,1213579,13036,0.6916306192848998,-5.69291033706093
69,2010-08-18,130.94,130.94,128.0,128.42,175017296.0,1356403,13083,-0.16755656308521386,-7.46251758206411
70,2010-08-19,128.08,129.77,128.08,128.85,142539136.0,1105306,12842,0.6141569300324168,8.731412797041882
71,2010-08-20,128.88,130.6,125.0,125.01,219343376.0,1717500,12885,-1.9310414833863527,-6.839867707275149
72,2010-08-23,125.09,125.95,124.97,125.16,107527448.0,857786,12501,-0.07383562258265197,-31.742589436217195
73,2010-08-24,124.7,126.86,122.9,126.46,141772240.0,1135915,12516,0.5400198191416905,24.896555831148625
74,2010-08-25,125.15,125.45,121.0,121.1,124904744.0,1013657,12646,-2.3631187260245268,4.119608151374332
75,2010-08-26,121.2,124.0,121.0,121.8,122747256.0,1004053,12110,0.2486792213913347,-23.48692524161964
76,2010-08-27,121.8,124.5,121.31,124.45,146700736.0,1191771,12180,0.2975344638239452,-16.19229182262203
77,2010-08-30,125.44,126.59,124.5,126.08,172869488.0,1374554,12445,1.9744137803167303,61.19283105181121
78,2010-08-31,125.8,125.8,123.86,124.8,154305360.0,1238437,12608,-0.4054874597342773,0.02467228762479401
79,2010-09-01,124.9,127.56,123.6,124.25,175861216.0,1398949,12480,-0.6596192464151551,17.044454997668712
80,2010-09-02,125.22,135.17,124.57,133.9,490113824.0,3740264,12425,1.2950583209664135,-8.151581531482623
81,2010-09-03,133.9,135.29,131.02,132.7,288364640.0,2166342,13390,-0.04039173133336682,2.7442045923888445
82,2010-09-06,132.9,135.0,129.0,129.0,192439664.0,1479088,13270,1.8793168984422293,29.20478258106125
83,2010-09-07,128.76,130.45,128.01,130.1,110613576.0,852573,12900,0.2695716768232215,-21.6676495054146
84,2010-09-08,130.1,134.68,130.08,132.93,180416288.0,1357855,13010,-0.07173721384730047,-0.8805285998065182
