stock,act_day,act,target_price,sell_day,T2-sell,gain_percent,act_low,act_high,buy,at_price,EPOCH_R,sell,selling_price
sh600030,2020-12-30,buy,27.77822494506836,2020-12-31,28.46279819488525,0.02,0,0,0,0,100,0,0
sh600600,2020-12-30,buy,96.44154357910156,2020-12-31,99.6976760864258,0.03,0,0,0,0,100,0,0
sh600648,2020-12-30,buy,13.602750778198242,2020-12-31,14.07901903629303,0.04,0,0,0,0,100,0,0
sh600585,2020-12-30,buy,50.608970642089844,2020-12-31,52.1921422958374,0.03,0,0,0,0,100,0,0
sh600529,2020-12-30,buy,49.74076461791992,2020-12-31,51.97387115478516,0.04,0,0,0,0,100,0,0
sh600547,2020-12-30,buy,23.13831901550293,2020-12-31,23.57726294517517,0.02,0,-0,0,0,100,0,0
sh600587,2020-12-30,buy,14.040745735168455,2020-12-31,14.43921329498291,0.03,0,0,0,0,100,0,0
sh600058,2020-12-30,buy,7.03777551651001,2020-12-31,7.139785628318787,0.01,0,0,0,0,100,0,0
sh600030,2020-12-30,buy,27.69943428039551,2020-12-31,28.627112646102905,0.03,0,0,0,0,100,0,0
sh600600,2020-12-30,buy,96.33087158203124,2020-12-31,99.66387985229493,0.03,0,0,0,0,100,200,99.67
sh600648,2020-12-30,buy,13.732531547546387,2020-12-31,14.068271727561953,0.02,0,0,0,0,100,0,0
sh600585,2020-12-30,buy,50.78154373168945,2020-12-31,52.00043292999268,0.02,0,0,0,0,100,0,0
sh600529,2020-12-30,buy,49.48784637451172,2020-12-31,52.3679252243042,0.06,0,0,300,49.51,100,0,0
sh600587,2020-12-30,buy,14.20303726196289,2020-12-31,14.405964579582214,0.01,0,0,0,0,100,0,0
sh600058,2020-12-30,buy,6.8663177490234375,2020-12-31,7.052450697422028,0.03,0,0,0,0,100,0,0
sh600547,2020-12-30,buy,23.132089614868164,2020-12-31,23.93021230697632,0.03,0,0,0,0,100,0,0
