stock,act_day,act,target_price,sell_day,T2-sell,gain_percent,act_low,act_high,buy,at_price,EPOCH_R,sell,selling_price,act_low_dif
sh600030,2021-01-05,buy,28.570804595947266,2021-01-06,29.45520009040833,0.03,28.63,29.38,0,0.0,100,0.0,0.0,-0.06
sh600600,2021-01-05,buy,99.7955093383789,2021-01-06,104.94325092315674,0.05,101.81,108.79,0,0.0,100,0.0,0.0,-2.01
sh600648,2021-01-05,buy,13.66047191619873,2021-01-06,14.052816896438598,0.03,13.62,13.83,0,13.66047191619873,100,0.0,0.0,0.04
sh600585,2021-01-05,buy,51.29924774169922,2021-01-06,52.514011192321775,0.02,51.01,52.32,0,51.29924774169922,100,0.0,0.0,0.29
sh600529,2021-01-05,buy,48.24222183227539,2021-01-06,49.70315061569214,0.03,45.07,48.14,0,48.24222183227539,100,0.0,0.0,3.17
sh600587,2021-01-05,buy,14.068670272827148,2021-01-06,14.449601917266845,0.03,14.17,14.46,0,0.0,100,0.0,0.0,-0.1
sh600685,2021-01-05,buy,27.13333511352539,2021-01-06,29.577045307159423,0.09,27.23,28.95,0,0.0,100,0.0,0.0,-0.1
sh600058,2021-01-05,buy,7.279135227203369,2021-01-06,7.684093735218048,0.06,7.25,7.38,0,7.279135227203369,100,0.0,0.0,0.03
sh600547,2021-01-05,buy,24.26225662231445,2021-01-06,24.93842107772827,0.03,24.19,24.84,0,24.26225662231445,100,0.0,0.0,0.07
sh600030,2021-01-05,buy,27.59052085876465,2021-01-06,28.506051225662237,0.03,28.63,29.38,0,0.0,100,0.0,0.0,-1.04
sh600685,2021-01-05,buy,22.998912811279297,2021-01-06,23.882273578643797,0.04,27.23,28.95,0,0.0,100,0.0,0.0,-4.23
sh600600,2021-01-05,buy,98.33309173583984,2021-01-06,105.68112777709959,0.07,101.81,108.79,0,0.0,100,0.0,0.0,-3.48
sh600648,2021-01-05,buy,13.789770126342773,2021-01-06,14.300374121665955,0.04,13.62,13.83,0,13.789770126342773,100,0.0,0.0,0.17
sh600585,2021-01-05,buy,50.48929977416992,2021-01-06,51.91966205596924,0.03,51.01,52.32,0,0.0,100,0.0,0.0,-0.52
sh600529,2021-01-05,buy,47.66279983520508,2021-01-06,50.33764226913452,0.06,45.07,48.14,0,47.66279983520508,100,0.0,0.0,2.59
sh600587,2021-01-05,buy,14.815902709960938,2021-01-06,15.411126413345336,0.04,14.17,14.46,0,14.815902709960938,100,0.0,0.0,0.65
sh600058,2021-01-05,buy,6.829099178314209,2021-01-06,7.042507112026215,0.03,7.25,7.38,0,0.0,100,0.0,0.0,-0.42
sh600547,2021-01-05,buy,23.18054389953613,2021-01-06,23.660058784484864,0.02,24.19,24.84,0,0.0,100,0.0,0.0,-1.01
