stock,fc_date,T+1_lowest,reachability,T+1_lowest_+0.5%,reachability_2,uptonow_epochs
sh999999,2020-12-27,28.20000076293945,54.7,28.34,63.31,60
sh999999,2020-12-27,28.3799991607666,57.66,28.52,67.47,120
sh999999,2020-12-27,28.440000534057607,39.38,28.58,49.87,180
sh999999,2020-12-27,28.65999984741211,55.78,28.8,67.74,240
sh999999,2020-12-27,28.95000076293945,61.21,29.09,72.75,300
sh999999,2020-12-27,28.85000038146973,48.72,28.99,61.61,360
sh999999,2020-12-27,29.190000534057607,64.56,29.34,73.15,420
sh999999,2020-12-27,28.979999542236328,62.28,29.12,71.14,480
sh999999,2020-12-27,28.729999542236328,39.6,28.87,54.77,540
sh999999,2020-12-27,28.88999938964844,55.63,29.04,67.29,600
sh999999,2020-12-27,28.149999618530273,35.75,28.29,49.46,640
sh999999,2020-12-27,28.61000061035156,40.32,28.75,53.23,680
sh999999,2020-12-27,28.78000068664551,36.02,28.93,50.67,720
sh999999,2020-12-27,28.60000038146973,70.03,28.74,78.63,760
sh999999,2020-12-27,28.8799991607666,53.96,29.02,67.25,800
sh999999,2020-12-27,29.059999465942386,40.54,29.2,53.69,840
sh999999,2020-12-27,29.489999771118164,63.36,29.63,72.75,880
sh999999,2020-12-27,29.520000457763672,20.4,29.67,30.87,920
sh999999,2020-12-27,28.75,67.79,28.9,76.64,960
sh999999,2020-12-27,28.10000038146973,52.96,28.24,66.13,980
sh999999,2020-12-27,28.61000061035156,30.65,28.76,42.88,1000
sh999999,2020-12-27,28.57999992370605,39.52,28.72,53.23,1020
sh999999,2020-12-27,28.6200008392334,61.96,28.76,71.64,1040
sh999999,2020-12-27,28.1299991607666,60.62,28.27,69.49,1060
sh999999,2020-12-27,28.51000022888184,58.74,28.65,68.95,1080
sh999999,2020-12-27,28.709999084472656,62.9,28.85,72.58,1100
sh999999,2020-12-27,28.6200008392334,68.28,28.76,75.81,1120
sh999999,2020-12-27,28.96999931335449,39.06,29.11,54.09,1140
sh999999,2020-12-27,29.040000915527344,31.54,29.18,46.17,1160
sh999999,2020-12-27,28.209999084472656,36.83,28.35,52.28,1180
sh999999,2020-12-27,28.559999465942386,31.59,28.7,44.35,1200
sh999999,2020-12-27,28.540000915527344,41.26,28.69,54.3,1220
sh999999,2020-12-27,28.6200008392334,60.08,28.76,71.51,1240
sh999999,2020-12-27,29.03000068664551,47.52,29.18,60.13,1260
sh999999,2020-12-27,29.0,27.92,29.15,39.6,1280
sh999999,2020-12-27,29.56999969482422,26.31,29.72,39.06,1300
sh999999,2020-12-27,29.440000534057607,19.19,29.58,27.25,1320
sh999999,2020-12-27,28.79999923706055,25.23,28.94,36.24,1340
sh999999,2020-12-27,29.11000061035156,50.54,29.25,63.14,1360
sh999999,2020-12-27,29.209999084472656,78.15,29.36,83.78,1380
sh999999,2020-12-27,29.93000030517578,43.03,30.08,56.84,1400
sh999999,2020-12-27,30.78000068664551,72.92,30.94,79.49,1420
sh999999,2020-12-27,30.40999984741211,69.44,30.56,78.82,1440
sh999999,2020-12-27,30.29999923706055,49.0,30.45,61.98,1460
sh999999,2020-12-27,29.809999465942386,65.33,29.96,73.49,1480
sh999999,2020-12-27,29.540000915527344,46.32,29.69,58.23,1500
sh999999,2020-12-27,29.28000068664551,78.31,29.42,82.46,1520
sh999999,2020-12-27,29.059999465942386,42.84,29.2,56.36,1540
sh999999,2020-12-27,28.88999938964844,36.23,29.03,50.53,1560
sh999999,2020-12-27,28.38999938964844,57.09,28.53,68.18,1580
sh999999,2020-12-27,28.459999084472656,31.15,28.6,41.58,1600
sh999999,2020-12-27,28.36000061035156,47.06,28.5,62.03,1620
sh999999,2020-12-27,28.10000038146973,36.5,28.24,49.6,1640
sh999999,2020-12-27,28.559999465942386,67.02,28.7,74.5,1660
sh999999,2020-12-27,28.729999542236328,35.91,28.87,49.67,1680
sh999999,2020-12-27,28.799999237060547,61.95,28.94,72.1,1700
